review_id,review_comment,true_sentiment,cleaned_text,vader_score,vader_sentiment,fasttext_line
185,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
186,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
187,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
188,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
189,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
190,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
191,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
192,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
193,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
194,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
195,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
196,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
197,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
198,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
199,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
200,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
201,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
202,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
203,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
204,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
205,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
206,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
207,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
208,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
209,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
210,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
211,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
212,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
213,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
214,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
215,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
216,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
217,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
218,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
219,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
220,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
221,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
222,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
223,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
224,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
225,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
226,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
227,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
228,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
229,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
230,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
231,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
232,Item arrived damaged,Negative,item arrived damaged,-0.4404,Negative,__label__Negative item arrived damaged
233,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
234,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
235,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
236,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
237,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
238,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
239,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
240,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
241,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
242,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
243,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
244,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
245,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
246,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
247,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
248,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
249,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
250,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
251,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
252,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
253,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
254,Delivery was okay,Neutral,delivery was okay,0.2263,Positive,__label__Neutral delivery was okay
255,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
256,Average experience overall,Neutral,average experience overall,0.0,Neutral,__label__Neutral average experience overall
257,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
258,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
259,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
260,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
261,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
262,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
263,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
264,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
265,Great quality and fast delivery,Positive,great quality and fast delivery,0.6249,Positive,__label__Positive great quality and fast delivery
266,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
267,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
268,It works fine,Neutral,it works fine,0.2023,Positive,__label__Neutral it works fine
269,Amazing product highly recommended,Positive,amazing product highly recommended,0.7089,Positive,__label__Positive amazing product highly recommended
270,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
271,Love this product will buy again,Positive,love this product will buy again,0.6369,Positive,__label__Positive love this product will buy again
272,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
273,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
274,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
275,Refund process was very slow,Negative,refund process was very slow,0.0,Neutral,__label__Negative refund process was very slow
276,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
277,Excellent service and friendly staff,Positive,excellent service and friendly staff,0.7845,Positive,__label__Positive excellent service and friendly staff
278,The item matches the description,Neutral,the item matches the description,0.0,Neutral,__label__Neutral the item matches the description
279,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
280,Bad customer support experience,Negative,bad customer support experience,-0.2023,Negative,__label__Negative bad customer support experience
281,Product received as expected,Neutral,product received as expected,0.0,Neutral,__label__Neutral product received as expected
282,Very satisfied with the purchase,Positive,very satisfied with the purchase,0.4754,Positive,__label__Positive very satisfied with the purchase
283,Poor quality and delayed delivery,Negative,poor quality and delayed delivery,-0.6124,Negative,__label__Negative poor quality and delayed delivery
284,Very disappointed with the product,Negative,very disappointed with the product,-0.5256,Negative,__label__Negative very disappointed with the product
